Private School Name,State Name [Private School] Latest available year,State Name [Private School] 2015-16,Private School Name [Private School] 2015-16,County Name [Private School] 2015-16
ABA ACADEMY,FLORIDA,FLORIDA,ABA ACADEMY,PINELLAS
ABACUS MONTESSORI ACADEMY,PENNSYLVANIA,PENNSYLVANIA,ABACUS MONTESSORI ACADEMY,BUCKS
ABACUS SCHOOL OF AUSTIN,TEXAS,TEXAS,ABACUS SCHOOL OF AUSTIN,WILLIAMSON
ABBA INDEPENDENT LEARNING CENTER,TEXAS,TEXAS,ABBA INDEPENDENT LEARNING CENTER,HARRIS
ABBEVILLE CHRISTIAN ACADEMY,ALABAMA,ALABAMA,ABBEVILLE CHRISTIAN ACADEMY,HENRY
ABBOTSFORD CHRISTIAN ACADEMY,WISCONSIN,WISCONSIN,ABBOTSFORD CHRISTIAN ACADEMY,MARATHON
ABC CHILDCARE CENTER,CALIFORNIA,CALIFORNIA,ABC CHILDCARE CENTER,RIVERSIDE
ABC INTERNATIONAL MONTESSORI ACADEMY,MINNESOTA,MINNESOTA,ABC INTERNATIONAL MONTESSORI ACADEMY,HENNEPIN
ABC LITTLE SCHOOL,CALIFORNIA,CALIFORNIA,ABC LITTLE SCHOOL,LOS ANGELES
ABC LITTLE SCHOOLS - WEST HOLLYWOOD,CALIFORNIA,CALIFORNIA,ABC LITTLE SCHOOLS - WEST HOLLYWOOD,LOS ANGELES
ABC MONTESSORI ACADEMY FOR THE BRILLIANT CHILD,GEORGIA,GEORGIA,ABC MONTESSORI ACADEMY FOR THE BRILLIANT CHILD,HENRY
ABC NURSERY SCHOOL AND KINDERGARTEN,NEW JERSEY,NEW JERSEY,ABC NURSERY SCHOOL AND KINDERGARTEN LLC,BURLINGTON
ABC PLAYHOUSE,CALIFORNIA,CALIFORNIA,ABC PLAYHOUSE,LOS ANGELES
ABC SCHOOL,CALIFORNIA,CALIFORNIA,ABC SCHOOL,SACRAMENTO
ABC SCHOOL HOUSE,CALIFORNIA,CALIFORNIA,ABC SCHOOL HOUSE,LOS ANGELES
ABC SPECTRUM PRESCHOOL,NEW JERSEY,NEW JERSEY,ABC SPECTRUM PRESCHOOL,MONMOUTH
ABC TOON TOWN II,ILLINOIS,ILLINOIS,ABC TOON TOWN II,COOK
ABC'S FOR CHILDREN,PENNSYLVANIA,PENNSYLVANIA,ABC'S FOR CHILDREN,ALLEGHENY
ABC'S OF LEARNING,NEW JERSEY,NEW JERSEY,ABC'S OF LEARNING,MORRIS
ABC-STEWART SCHOOL,INDIANA,INDIANA,ABC LEARNING CENTRE INC. (DBA ABC-STEWART SCHOOL,BARTHOLOMEW
ABCD DAYCARE CENTER,IDAHO,IDAHO,ABCD DAYCARE CENTER,KOOTENAI
ABERCORN INTERNATIONAL SCHOOL,TEXAS,TEXAS,ABERCORN INTERNATIONAL SCHOOL,TRAVIS
ABERCROMBIE ACADEMY,TEXAS,TEXAS,ABERCROMBIE ACADEMY,HARRIS
ABI CHRISTIAN ACADEMY,MINNESOTA,MINNESOTA,ABI CHRISTIAN ACADEMY,WASHINGTON
ABIDING HOPE PRESCHOOL,COLORADO,COLORADO,ABIDING HOPE PRESCHOOL,JEFFERSON
